"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"Q102","140mil","1470mil","140mil","1470mil","140mil","1470mil","T","0",""
"Q103","140mil","1540mil","140mil","1540mil","140mil","1540mil","T","0",""
"Q104","140mil","1610mil","140mil","1610mil","140mil","1610mil","T","0",""
"Q105","140mil","1680mil","140mil","1680mil","140mil","1680mil","T","0",""
"Q106","140mil","1750mil","140mil","1750mil","140mil","1750mil","T","0",""
"Q107","140mil","1820mil","140mil","1820mil","140mil","1820mil","T","0",""
"Q108","140mil","1890mil","140mil","1890mil","140mil","1890mil","T","0",""
"Q109","140mil","1960mil","140mil","1960mil","140mil","1960mil","T","0",""
"Q110","140mil","2030mil","140mil","2030mil","140mil","2030mil","T","0",""
"Q111","140mil","2100mil","140mil","2100mil","140mil","2100mil","T","0",""
"Q112","140mil","2170mil","140mil","2170mil","140mil","2170mil","T","0",""
"Q113","140mil","2240mil","140mil","2240mil","140mil","2240mil","T","0",""
"Q114","140mil","2310mil","140mil","2310mil","140mil","2310mil","T","0",""
"Q115","140mil","2380mil","140mil","2380mil","140mil","2380mil","T","0",""
"Q116","140mil","2450mil","140mil","2450mil","140mil","2450mil","T","0",""
"Q117","140mil","2520mil","140mil","2520mil","140mil","2520mil","T","0",""
"Q118","140mil","2590mil","140mil","2590mil","140mil","2590mil","T","0",""
"Q119","140mil","2660mil","140mil","2660mil","140mil","2660mil","T","0",""
"Q120","140mil","2730mil","140mil","2730mil","140mil","2730mil","T","0",""
"Q121","210mil","0mil","210mil","0mil","210mil","0mil","T","0",""
"Q122","210mil","70mil","210mil","70mil","210mil","70mil","T","0",""
"Q123","210mil","140mil","210mil","140mil","210mil","140mil","T","0",""
"Q124","210mil","210mil","210mil","210mil","210mil","210mil","T","0",""
"Q125","210mil","280mil","210mil","280mil","210mil","280mil","T","0",""
"Q126","210mil","350mil","210mil","350mil","210mil","350mil","T","0",""
